threshold,GP_mean,GP_std,LR_mean,LR_std,RF_mean,RF_std,XGB_mean,XGB_std,LR_platt_mean,LR_platt_std,RF_platt_mean,RF_platt_std,APACHE-IV_mean,APACHE-IV_std
0.19221105527638194,0.04928053837798031,0.005718778884627178,0.005777399519020119,0.002249572040799525,0.03393183031194504,0.002861650607817713,0.0468910078498752,0.0038894629888620628,0.0582359614965396,0.004496232549130966,0.06019479706936133,0.0035404834766913063,0.04456173998371246,0.004577434930595499
0.19467336683417086,0.04840533893581313,0.0055631880990635214,0.003893324415148844,0.0021650267548791787,0.033172693492346465,0.002774339335502905,0.045708106026468,0.0039209043425544815,0.05750947105341043,0.004432502091547818,0.05953548911888161,0.0035152383774524234,0.04404276990362286,0.00455304579653512
0.1971356783919598,0.047650050164008806,0.005624673533744302,0.0021769743775299157,0.0022970133007650414,0.03241413338211969,0.002996990954710699,0.04460317700125786,0.003666272554186706,0.056825998090272375,0.004514203677457359,0.058699528355261946,0.0034008482066805517,0.04305311265642297,0.004610304898815323
0.19959798994974876,0.04701619670964482,0.0055322175402152856,0.00035055495662709855,0.0023180313306247853,0.03143851766446545,0.0031818567121441954,0.043626525365038325,0.0037107180730941705,0.05617008888108145,0.004472100658699564,0.05781227870543584,0.003538957972014139,0.0419842612265492,0.0046530265311971976
0.2020603015075377,0.046206048031490865,0.005614316520423249,-0.0013911943285155985,0.0024028460817309264,0.030509762396379057,0.003223368408156232,0.042720360568266384,0.003648006168234373,0.05550933818326665,0.004614750171022721,0.056958632551640895,0.0038121423275917186,0.04063576192472139,0.004557239501258053
0.20452261306532665,0.04553049422241484,0.005474603313872655,-0.00305561299963026,0.0024642168643771575,0.029480890077313266,0.003313996479822728,0.041601376092847975,0.00375709440752865,0.054771565739391986,0.004463853097171723,0.056293124901398144,0.004041338116193403,0.04010734930309426,0.004397165972793282
0.2069849246231156,0.04468079324180834,0.0054632093377898665,-0.004680073016505525,0.002633042491171479,0.02865714616597936,0.00343342747553062,0.04036930928719177,0.003808363127395988,0.054487473287033655,0.004592774871070755,0.05566288211634317,0.003950264340901782,0.03928202361677256,0.004365816949472492
0.20944723618090455,0.04431753516421709,0.005192286063084207,-0.006384959718819116,0.0027072311068827765,0.027881088695418364,0.003457491321940665,0.03922108969059178,0.0038312178156188277,0.05401985344382567,0.004539398680240336,0.05480666289472412,0.004106462996844618,0.038636668242165204,0.00438926598289589
0.21190954773869347,0.04353450357997342,0.004985697466474758,-0.007974189746457968,0.0027572888884560913,0.026965858130945757,0.003587304377215854,0.038315408552014416,0.004018747263553132,0.053644270229766935,0.004752331151330105,0.05385297204750292,0.004090482311409951,0.03820179096209583,0.004351274933453174
0.21437185929648242,0.04305458172229533,0.005127971899714787,-0.009741965997342205,0.0027192569214738492,0.02616593645165326,0.0037720994127748227,0.03719964122579113,0.0041498518334811265,0.05301513577022745,0.004551677026983404,0.053336811538873354,0.0042750729335715,0.037157426441989466,0.004276685519185604
0.21683417085427137,0.04250941643328222,0.00513472218690671,-0.011303656572648644,0.002733398490448121,0.025281298119902876,0.003928673129365668,0.0361441283116634,0.004065977177990637,0.052034255611966285,0.004362490159999794,0.052750177040774754,0.0044102671899382394,0.03627861867112159,0.004352400683781229
0.21929648241206032,0.04195183996135733,0.0051919127495259065,-0.012943114155870324,0.0027568070904615116,0.024440441715557995,0.003756469991215518,0.035064781330628826,0.004021717488290953,0.05136093294586139,0.004400078110214687,0.05212028049131639,0.004418347683153683,0.035737580587577304,0.004304440093632044
