label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,run,seed
GP,0.7397,0.4215,0.1178,13.8,0.0177,1.0853,0.0863,0.7128,0.627,0.3937,0.7309,0.1469,GP,28,27
LR,0.7796,0.4585,0.1859,-36.0,0.2525,0.9731,-1.6045,0.7363,0.6893,0.4427,0.6533,0.4618,LR,28,27
RF,0.7715,0.4591,0.1285,6.0,0.1189,1.3734,-0.5311,0.7389,0.6561,0.4224,0.712,0.2864,RF,28,27
XGB,0.7656,0.4511,0.1425,-4.2,0.132,0.7733,-1.089,0.7232,0.6663,0.4216,0.6996,0.3014,XGB,28,27
LR_platt,0.7796,0.4585,0.1136,16.9,0.017,1.0835,0.0965,0.7363,0.6893,0.4427,0.7711,0.1535,LR_platt,28,27
RF_platt,0.7715,0.4591,0.1136,16.9,0.0156,1.0006,-0.0356,0.7389,0.6561,0.4224,0.7637,0.1481,RF_platt,28,27
APACHE-IV,0.6918,0.3615,0.1352,3.2,0.0672,0.3004,-1.0937,0.5393,0.7978,0.4243,0.6582,0.2754,APACHE-IV,28,27
GP,0.723,0.395,0.1238,11.6,0.0064,0.9536,-0.0559,0.7179,0.6086,0.3931,0.7198,0.1407,GP,29,28
LR,0.7639,0.4633,0.1882,-34.5,0.2482,0.8926,-1.5645,0.6467,0.7401,0.4412,0.6398,0.4984,LR,29,28
RF,0.7627,0.4619,0.131,6.4,0.1144,1.277,-0.5587,0.6952,0.7268,0.4565,0.7055,0.3122,RF,29,28
XGB,0.7606,0.4554,0.1457,-4.1,0.1348,0.7445,-1.1,0.5783,0.8133,0.4624,0.6932,0.4414,XGB,29,28
LR_platt,0.7639,0.4633,0.1165,16.8,0.0181,0.9816,-0.0148,0.6467,0.7401,0.4412,0.7549,0.17,LR_platt,29,28
RF_platt,0.7627,0.4619,0.117,16.4,0.0179,0.9236,-0.1063,0.6952,0.7268,0.4565,0.7537,0.1704,RF_platt,29,28
APACHE-IV,0.7013,0.3979,0.1346,5.2,0.0607,0.4705,-0.8703,0.6637,0.653,0.3971,0.671,0.1867,APACHE-IV,29,28
GP,0.7166,0.3563,0.1137,9.7,0.0195,0.9191,-0.2755,0.5851,0.7385,0.378,0.7068,0.1848,GP,30,29
LR,0.7454,0.3848,0.1907,-51.6,0.2563,0.7775,-1.6703,0.7163,0.6673,0.3938,0.6172,0.4412,LR,30,29
RF,0.7531,0.3775,0.1282,-1.9,0.1267,1.192,-0.7475,0.695,0.701,0.4062,0.6898,0.3089,RF,30,29
XGB,0.7545,0.3924,0.1429,-13.6,0.1427,0.7247,-1.2089,0.7979,0.6034,0.3903,0.6832,0.2547,XGB,30,29
LR_platt,0.7454,0.3848,0.1111,11.7,0.018,0.8608,-0.3372,0.7163,0.6673,0.3938,0.7364,0.1466,LR_platt,30,29
RF_platt,0.7531,0.3775,0.1113,11.5,0.0212,0.8548,-0.3396,0.695,0.701,0.4062,0.7425,0.1679,RF_platt,30,29
APACHE-IV,0.6628,0.2772,0.137,-6.1,0.0724,0.2733,-1.2413,0.6899,0.5889,0.347,0.6266,0.1444,APACHE-IV,30,29
